item_id,source_image,baseline_section,baseline_route,suggested_qid,suggested_score,original_preflight_status,original_recommended_route,original_triggered_checks,original_decision_signals,calibrated_preflight_status,calibrated_recommended_route,calibrated_triggered_checks,calibrated_decision_signals,adjudication_available,adjudication_auto_match_correct,adjudication_final_decision,calibration_change
screenshots/Screenshot 2026-04-07 at 18.28.41.png,screenshots/Screenshot 2026-04-07 at 18.28.41.png,matched,auto-match ok,q0383,82.793,pass,auto-match ok,,,pass,auto-match ok,,,true,true,approve-existing-qid,unchanged
screenshots/900.png,screenshots/900.png,matched,auto-match ok,q0328,80.766,downgrade,manual review,topic-subtopic-drift-risk,topic-subtopic-drift-risk,warn,auto-match ok,topic-subtopic-drift-risk,topic-subtopic-drift-risk,true,true,approve-existing-qid,recovered-auto-match
screenshots/Screenshot 2026-04-07 at 18.28.29 1.png,screenshots/Screenshot 2026-04-07 at 18.28.29 1.png,matched,auto-match ok,q0380,78.868,downgrade,manual review,image-sign-symbol-mismatch-risk|trust-band-caution,image-sign-symbol-mismatch-risk|trust-band-caution,warn,auto-match ok,image-sign-symbol-mismatch-risk|trust-band-caution,image-sign-symbol-mismatch-risk|trust-band-caution,true,true,approve-existing-qid,recovered-auto-match
screenshots/Screenshot 2026-04-07 at 18.28.43 1.png,screenshots/Screenshot 2026-04-07 at 18.28.43 1.png,matched,auto-match ok,q0892,74.11,downgrade,manual review,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,warn,auto-match ok,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,true,true,approve-existing-qid,recovered-auto-match
screenshots/Screenshot 2026-04-07 at 18.28.27 1.png,screenshots/Screenshot 2026-04-07 at 18.28.27 1.png,matched,auto-match ok,q0876,71.128,downgrade,manual review,image-sign-symbol-mismatch-risk|trust-band-caution,image-sign-symbol-mismatch-risk|trust-band-caution,warn,auto-match ok,image-sign-symbol-mismatch-risk|trust-band-caution,image-sign-symbol-mismatch-risk|trust-band-caution,true,true,approve-existing-qid,recovered-auto-match
screenshots/Screenshot 2026-04-07 at 18.28.54.png,screenshots/Screenshot 2026-04-07 at 18.28.54.png,matched,auto-match ok,q0017,68.166,downgrade,manual review,trust-band-caution,trust-band-caution,warn,auto-match ok,trust-band-caution,trust-band-caution,true,true,approve-existing-qid,recovered-auto-match
screenshots/Screenshot 2026-04-07 at 18.28.52 1.png,screenshots/Screenshot 2026-04-07 at 18.28.52 1.png,matched,auto-match ok,q0268,66.769,downgrade,manual review,topic-subtopic-drift-risk|trust-band-caution,topic-subtopic-drift-risk|trust-band-caution,warn,auto-match ok,topic-subtopic-drift-risk|trust-band-caution,topic-subtopic-drift-risk|trust-band-caution,true,true,approve-existing-qid,recovered-auto-match
screenshots/902.png,screenshots/902.png,matched,auto-match ok,q0314,53.736,downgrade,manual review,trust-band-caution,trust-band-caution,warn,auto-match ok,trust-band-caution,trust-band-caution,true,true,approve-existing-qid,recovered-auto-match
screenshots/Screenshot 2026-04-07 at 18.28.33.png,screenshots/Screenshot 2026-04-07 at 18.28.33.png,matched,auto-match ok,q0283,52.06,downgrade,manual review,topic-subtopic-drift-risk,topic-subtopic-drift-risk,warn,auto-match ok,topic-subtopic-drift-risk,topic-subtopic-drift-risk,true,true,approve-existing-qid,recovered-auto-match
screenshots/Screenshot 2026-04-07 at 18.28.51.png,screenshots/Screenshot 2026-04-07 at 18.28.51.png,review-needed,manual review,q0303,95.042,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,true,approve-existing-qid,unchanged
