item_id,source_image,baseline_section,baseline_route,suggested_qid,suggested_score,suggested_score_gap,baseline_trust_band,adjusted_trust_band,preflight_status,recommended_route,calibration_profile,source_type,provisional_topic,candidate_topic,expected_object_tags,candidate_object_tags,triggered_checks,decision_signals
screenshots/Screenshot 2026-04-07 at 18.28.41.png,screenshots/Screenshot 2026-04-07 at 18.28.41.png,matched,auto-match ok,q0383,82.793,26.255,very-high,very-high,pass,auto-match ok,calibrated,MCQ,,mcq,,,,
screenshots/900.png,screenshots/900.png,matched,auto-match ok,q0328,80.766,19.93,very-high,very-high,warn,auto-match ok,calibrated,ROW,traffic-signals,traffic-signs,traffic-light,,topic-subtopic-drift-risk,topic-subtopic-drift-risk
screenshots/Screenshot 2026-04-07 at 18.28.29 1.png,screenshots/Screenshot 2026-04-07 at 18.28.29 1.png,matched,auto-match ok,q0380,78.868,12.494,high,high,warn,auto-match ok,calibrated,MCQ,traffic-signals,mcq,intersection,arrow|crosswalk|traffic-light,image-sign-symbol-mismatch-risk|trust-band-caution,image-sign-symbol-mismatch-risk|trust-band-caution
screenshots/Screenshot 2026-04-07 at 18.28.43 1.png,screenshots/Screenshot 2026-04-07 at 18.28.43 1.png,matched,auto-match ok,q0892,74.11,12.345,high,high,warn,auto-match ok,calibrated,MCQ,traffic-signals,parking,,,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.27 1.png,screenshots/Screenshot 2026-04-07 at 18.28.27 1.png,matched,auto-match ok,q0876,71.128,14.606,high,high,warn,auto-match ok,calibrated,MCQ,traffic-signals,mcq,,,image-sign-symbol-mismatch-risk|trust-band-caution,image-sign-symbol-mismatch-risk|trust-band-caution
screenshots/Screenshot 2026-04-07 at 18.28.54.png,screenshots/Screenshot 2026-04-07 at 18.28.54.png,matched,auto-match ok,q0017,68.166,9.767,medium,medium,warn,auto-match ok,calibrated,ROW,road-safety,road-safety,,,trust-band-caution,trust-band-caution
screenshots/Screenshot 2026-04-07 at 18.28.52 1.png,screenshots/Screenshot 2026-04-07 at 18.28.52 1.png,matched,auto-match ok,q0268,66.769,7.983,medium,medium,warn,auto-match ok,calibrated,ROW,proper-driving,road-safety,,,topic-subtopic-drift-risk|trust-band-caution,topic-subtopic-drift-risk|trust-band-caution
screenshots/902.png,screenshots/902.png,matched,auto-match ok,q0314,53.736,7.838,low,low,warn,auto-match ok,calibrated,ROW,traffic-signals,row,,,trust-band-caution,trust-band-caution
screenshots/Screenshot 2026-04-07 at 18.28.33.png,screenshots/Screenshot 2026-04-07 at 18.28.33.png,matched,auto-match ok,q0283,52.06,13.908,low,low,warn,auto-match ok,calibrated,ROW,traffic-signals,road-markings,,,topic-subtopic-drift-risk,topic-subtopic-drift-risk
screenshots/Screenshot 2026-04-07 at 18.28.51.png,screenshots/Screenshot 2026-04-07 at 18.28.51.png,review-needed,manual review,q0303,95.042,0,very-high,very-high,warn,manual review,calibrated,ROW,,right-of-way,intersection,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.25 1.png,screenshots/Screenshot 2026-04-07 at 18.28.25 1.png,review-needed,manual review,q0525,75.665,5.674,high,high,warn,manual review,calibrated,ROW,traffic-signals,row,,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
