itemId,approvedQid,noneOfThese,createNewQuestion,unsure,reviewerNotes
screenshots/Screenshot 2026-04-07 at 17.50.01.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.04.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.08.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.10.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.11.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.12.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.13 1.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.14.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.15.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.17.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.18 1.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.19.png,,false,false,true,
