currentSrc,currentBasename,currentHash,proposedBasename,proposedSrc,qids,numbers,topic,subtopics,dryRun,semanticSource
/qbank/2023-test1/images/img_c0462f686976c0bc7d5e3ffc1ccc8250.jpeg,img_c0462f686976c0bc7d5e3ffc1ccc8250.jpeg,c0462f686976c0bc7d5e3ffc1ccc8250,signal-lights-you-speed-through-railway-crossing-c0462f68.jpeg,/qbank/2023-test1/images/signal-lights-you-speed-through-railway-crossing-c0462f68.jpeg,q0189,189,traffic-signals,traffic-signals:signal-lights|traffic-signals:road-signs|road-safety:road-conditions,true,signal-lights-you-speed-through-railway-crossing
/qbank/2023-test1/images/img_beba143b93cf829baeccfd22b254706f.jpeg,img_beba143b93cf829baeccfd22b254706f.jpeg,beba143b93cf829baeccfd22b254706f,right-of-way-case-has-begun-going-slope-beba143b.jpeg,/qbank/2023-test1/images/right-of-way-case-has-begun-going-slope-beba143b.jpeg,q0192,192,right-of-way,,true,right-of-way-case-has-begun-going-slope
/qbank/2023-test1/images/img_c5158ff890735e182906451f70cf4f98.jpeg,img_c5158ff890735e182906451f70cf4f98.jpeg,c5158ff890735e182906451f70cf4f98,violations-penalties-motorized-parked-roadside-has-illegal-c5158ff8.jpeg,/qbank/2023-test1/images/violations-penalties-motorized-parked-roadside-has-illegal-c5158ff8.jpeg,q0193,193,violations-penalties,,true,violations-penalties-motorized-parked-roadside-has-illegal
/qbank/2023-test1/images/img_2459276275148d3a5a64f032971cec81.jpeg,img_2459276275148d3a5a64f032971cec81.jpeg,2459276275148d3a5a64f032971cec81,safe-driving-you-may-speed-through-intersection-24592762.jpeg,/qbank/2023-test1/images/safe-driving-you-may-speed-through-intersection-24592762.jpeg,q0194,194,proper-driving,proper-driving:safe-driving|traffic-signals:signal-lights,true,safe-driving-you-may-speed-through-intersection
/qbank/2023-test1/images/img_99f8816240b47bcca4e524660917b07a.jpeg,img_99f8816240b47bcca4e524660917b07a.jpeg,99f8816240b47bcca4e524660917b07a,row-such-sections-you-enter-cross-99f88162.jpeg,/qbank/2023-test1/images/row-such-sections-you-enter-cross-99f88162.jpeg,q0200,200,row,,true,row-such-sections-you-enter-cross
/qbank/2023-test1/images/img_6e35881612b74b47f18564d8f16d650d.jpeg,img_6e35881612b74b47f18564d8f16d650d.jpeg,6e35881612b74b47f18564d8f16d650d,road-signs-you-make-turn-intersection-6e358816.jpeg,/qbank/2023-test1/images/road-signs-you-make-turn-intersection-6e358816.jpeg,q0202,202,traffic-signals,traffic-signals:road-signs,true,road-signs-you-make-turn-intersection
/qbank/2023-test1/images/img_27da726083a315707de396721215ee1e.jpeg,img_27da726083a315707de396721215ee1e.jpeg,27da726083a315707de396721215ee1e,road-markings-may-speed-through-crosswalk-situation-27da7260.jpeg,/qbank/2023-test1/images/road-markings-may-speed-through-crosswalk-situation-27da7260.jpeg,q0219,219,traffic-signals,traffic-signals:road-markings|road-safety:road-conditions,true,road-markings-may-speed-through-crosswalk-situation
/qbank/2023-test1/images/p17-220.jpg,p17-220.jpg,d8764aa6e86870da9819817118ab6a2c,row-you-speed-through-section-kind-d8764aa6.jpg,/qbank/2023-test1/images/row-you-speed-through-section-kind-d8764aa6.jpg,q0220,220,row,,true,row-you-speed-through-section-kind
/qbank/2023-test1/images/img_7a1336f1fbfcd9b47a74a38ed6fef428.jpeg,img_7a1336f1fbfcd9b47a74a38ed6fef428.jpeg,7a1336f1fbfcd9b47a74a38ed6fef428,road-signs-top-speed-section-kilometers-per-7a1336f1.jpeg,/qbank/2023-test1/images/road-signs-top-speed-section-kilometers-per-7a1336f1.jpeg,q0226,226,traffic-signals,traffic-signals:road-signs,true,road-signs-top-speed-section-kilometers-per
/qbank/2023-test1/images/img_54f647f3368e3382b418c96b74b7e9d0.jpeg,img_54f647f3368e3382b418c96b74b7e9d0.jpeg,54f647f3368e3382b418c96b74b7e9d0,row-you-overtake-both-sides-case-54f647f3.jpeg,/qbank/2023-test1/images/row-you-overtake-both-sides-case-54f647f3.jpeg,q0228,228,row,,true,row-you-overtake-both-sides-case
