itemId,sourceImage,sourceKind,currentTopQid,currentTopScore,approvedQid,noneOfThese,unsure,reviewerNotes
screenshots/Screenshot 2026-04-07 at 17.49.24.png,screenshots/Screenshot 2026-04-07 at 17.49.24.png,review-needed,q0871,57.584,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.43.png,screenshots/Screenshot 2026-04-07 at 17.49.43.png,review-needed,q0319,50.504,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.45.png,screenshots/Screenshot 2026-04-07 at 17.49.45.png,review-needed,q0680,62.834,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.47 1.png,screenshots/Screenshot 2026-04-07 at 17.49.47 1.png,review-needed,q0164,41.21,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.49.png,screenshots/Screenshot 2026-04-07 at 17.49.49.png,review-needed,q0895,36.743,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.51.png,screenshots/Screenshot 2026-04-07 at 17.49.51.png,review-needed,q0126,46.534,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.53 1.png,screenshots/Screenshot 2026-04-07 at 17.49.53 1.png,review-needed,q0591,60.159,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.54.png,screenshots/Screenshot 2026-04-07 at 17.49.54.png,review-needed,q0110,39.902,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.55.png,screenshots/Screenshot 2026-04-07 at 17.49.55.png,review-needed,q0237,55.198,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.56.png,screenshots/Screenshot 2026-04-07 at 17.49.56.png,review-needed,q0680,79.199,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.59.png,screenshots/Screenshot 2026-04-07 at 17.49.59.png,review-needed,q0664,45.505,,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.00.png,screenshots/Screenshot 2026-04-07 at 17.50.00.png,review-needed,q0606,79.062,,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.47.png,screenshots/Screenshot 2026-04-07 at 17.49.47.png,unresolved,q0360,40.167,,false,true,
